Current	Voltage	Int_Temp	Ext_Temp	H_Temp	Dt_cycle	Wor_State	Short_cir	over_load	Ovr_Heat	Blk_Shaft
1.52	0.63	29.00	28.50	35.00	21.00	1	1	0	0	0
1.53	0.56	29.00	28.50	36.00	21.00	1	1	0	0	0
1.48	0.55	29.00	28.50	36.00	21.00	1	1	0	0	0
1.50	0.56	29.00	28.50	36.00	21.00	1	1	0	0	0
1.51	0.59	29.00	28.50	36.00	21.00	1	1	0	0	0
1.51	0.69	29.00	28.50	37.50	21.00	1	1	0	0	0
1.52	0.57	29.00	28.50	37.50	21.00	1	1	0	0	0
1.48	0.58	29.00	28.50	37.50	21.00	1	1	0	0	0
1.49	0.58	29.00	28.50	37.50	21.00	1	1	0	0	0
1.50	0.58	29.00	28.50	37.50	21.00	1	1	0	0	0
1.49	0.57	29.00	28.50	37.50	21.00	1	1	0	0	0
1.38	0.57	29.00	28.50	37.50	21.00	1	1	0	0	0
1.51	0.57	29.00	28.50	37.50	21.00	1	1	0	0	0
1.47	0.58	29.00	28.50	37.50	21.00	1	1	0	0	0
1.48	0.57	29.00	28.50	37.50	21.00	1	1	0	0	0
1.49	0.61	29.00	28.50	37.50	21.00	1	1	0	0	0
1.50	0.59	29.00	28.50	37.50	21.00	1	1	0	0	0
1.50	0.59	29.00	28.50	35.50	21.00	1	1	0	0	0
1.49	0.57	29.00	28.50	35.50	21.00	1	1	0	0	0
0.39	2.31	27.00	26.50	28.50	12.00	1	0	0	0	0
0.37	2.19	27.00	26.50	28.50	12.00	1	0	0	0	0
0.36	2.07	27.00	26.50	28.50	12.00	1	0	0	0	0
0.35	1.98	27.00	26.50	28.50	12.00	1	0	0	0	0
0.38	1.89	27.00	26.50	28.50	12.00	1	0	0	0	0
0.38	1.81	27.00	26.50	28.50	12.00	1	0	0	0	0
0.37	1.74	27.00	26.50	28.50	12.00	1	0	0	0	0
0.19	1.66	27.00	26.50	28.50	12.00	1	0	0	0	0
0.38	1.61	27.00	26.50	28.50	12.00	1	0	0	0	0
0.38	1.56	27.00	26.50	28.50	12.00	1	0	0	0	0
0.37	1.50	27.00	26.50	28.50	12.00	1	0	0	0	0
0.34	1.46	27.00	26.50	28.50	12.00	1	0	0	0	0
0.37	1.41	27.00	26.50	29.00	12.00	1	0	0	0	0
0.37	1.37	27.00	26.50	28.50	12.00	1	0	0	0	0
0.36	1.34	27.00	26.50	29.00	12.00	1	0	0	0	0
0.36	1.32	27.00	26.50	28.50	12.00	1	0	0	0	0
0.40	1.31	27.00	26.50	28.50	13.00	1	0	0	0	0
0.39	1.30	27.00	26.50	28.50	17.00	1	0	0	0	0
0.41	1.38	27.00	26.50	28.50	21.00	1	0	0	0	0
0.53	1.68	27.00	26.50	29.00	26.00	1	0	0	0	0
0.69	2.05	27.00	26.50	28.50	30.00	1	0	0	0	0
0.91	2.66	27.00	26.50	29.00	35.00	1	0	0	0	0
