Current	Voltage	Int_Temp	Ext_Temp	H_Temp	Dt_cycle	Wor_State	Short_cir	over_load	Ovr_Heat	Blk_Shaft	total_faults	Power	Power_per_Duty	Resistance	Conductance	Temp_Diff_Int_Ext	Temp_Diff_H_Ext	Temp_Diff_Int_H	Temp_Ratio_Int_Ext	Thermal_Stress	Heat_Generation	Current_per_Voltage	Voltage_per_Current	Current_x_Temp	Voltage_x_Duty	Power_x_Temp	Current_rolling_mean	Current_rolling_std	Current_rolling_max	Current_rolling_min	Voltage_rolling_mean	Voltage_rolling_std	Voltage_rolling_max	Voltage_rolling_min	Int_Temp_rolling_mean	Int_Temp_rolling_std	Int_Temp_rolling_max	Int_Temp_rolling_min	Ext_Temp_rolling_mean	Ext_Temp_rolling_std	Ext_Temp_rolling_max	Ext_Temp_rolling_min	H_Temp_rolling_mean	H_Temp_rolling_std	H_Temp_rolling_max	H_Temp_rolling_min	Dt_cycle_rolling_mean	Dt_cycle_rolling_std	Dt_cycle_rolling_max	Dt_cycle_rolling_min
1.52	0.63	29.0	28.5	35.0	21.0	1	1	0	0	0	1	0.9576	0.04559999782857153	0.4144734115306503	2.4126945830244715	0.5	6.5	-6.0	1.0175438239458308	10.5	0.4788	2.4126945830244715	0.4144734115306503	44.08	13.23	33.516	1.52	0.00707106781186556	1.52	1.52	0.63	0.04949747468305825	0.63	0.63	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	35.0	0.7071067811865476	35.0	35.0	21.0	0.0	21.0	21.0
1.53	0.56	29.0	28.5	36.0	21.0	1	1	0	0	0	1	0.8568000000000001	0.040799998057142954	0.36601283267135126	2.7321379783250386	0.5	7.5	-7.0	1.0175438239458308	10.5	0.42840000000000006	2.7321379783250386	0.36601283267135126	44.37	11.760000000000002	30.844800000000003	1.525	0.00707106781186556	1.53	1.52	0.595	0.04949747468305825	0.63	0.56	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	35.5	0.7071067811865476	36.0	35.0	21.0	0.0	21.0	21.0
1.48	0.55	29.0	28.5	36.0	21.0	1	1	0	0	0	1	0.8140000000000001	0.038761902916099863	0.37162137052610106	2.6909041983560025	0.5	7.5	-7.0	1.0175438239458308	10.5	0.40700000000000003	2.6909041983560025	0.37162137052610106	42.92	11.55	29.304000000000002	1.51	0.026457513110645908	1.53	1.48	0.5800000000000001	0.04358898943540666	0.63	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	35.666666666666664	0.5773502691896263	36.0	35.0	21.0	0.0	21.0	21.0
1.5	0.56	29.0	28.5	36.0	21.0	1	1	0	0	0	1	0.8400000000000001	0.03999999809523819	0.37333308444461044	2.678566645416704	0.5	7.5	-7.0	1.0175438239458308	10.5	0.42000000000000004	2.678566645416704	0.37333308444461044	43.5	11.760000000000002	30.240000000000002	1.5075	0.02217355782608346	1.53	1.48	0.5750000000000001	0.03696845502136465	0.63	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	35.75	0.5000000000000006	36.0	35.0	21.0	0.0	21.0	21.0
1.51	0.59	29.0	28.5	36.0	21.0	1	1	0	0	0	1	0.8908999999999999	0.04242380750362821	0.39072821806078273	2.5593176960717017	0.5	7.5	-7.0	1.0175438239458308	10.5	0.44544999999999996	2.5593176960717017	0.39072821806078273	43.79	12.389999999999999	32.072399999999995	1.508	0.01923538406167135	1.53	1.48	0.5780000000000001	0.03271085446759219	0.63	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	35.8	0.44721359549995865	36.0	35.0	21.0	0.0	21.0	21.0
1.51	0.69	29.0	28.5	37.5	21.0	1	1	0	0	0	1	1.0418999999999998	0.04961428335170078	0.45695333976600017	2.1884026255034414	0.5	9.0	-8.5	1.0175438239458308	10.5	0.5209499999999999	2.1884026255034414	0.45695333976600017	43.79	14.489999999999998	39.07124999999999	1.5083333333333335	0.01722401424368509	1.53	1.48	0.5966666666666667	0.05428320796219271	0.69	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	36.083333333333336	0.8010409893798628	37.5	35.0	21.0	0.0	21.0	21.0
1.52	0.57	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.8664	0.04125714089251709	0.374999753289636	2.6666619883123013	0.5	9.0	-8.5	1.0175438239458308	10.5	0.4332	2.6666619883123013	0.374999753289636	44.08	11.969999999999999	32.489999999999995	1.51	0.016329931618554526	1.53	1.48	0.5928571428571429	0.05056820005836527	0.69	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	36.285714285714285	0.9063269671749677	37.5	35.0	21.0	0.0	21.0	21.0
1.48	0.58	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.8583999999999999	0.0408761885297053	0.39189162710025194	2.5517197384142443	0.5	9.0	-8.5	1.0175438239458308	10.5	0.42919999999999997	2.5517197384142443	0.39189162710025194	42.92	12.18	32.19	1.50625	0.018468119248354155	1.53	1.48	0.59125	0.04703721930556692	0.69	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	36.4375	0.9425459443140479	37.5	35.0	21.0	0.0	21.0	21.0
1.49	0.58	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.8642	0.041152378992743856	0.38926148371712505	2.568961087998124	0.5	9.0	-8.5	1.0175438239458308	10.5	0.4321	2.568961087998124	0.38926148371712505	43.21	12.18	32.4075	1.5044444444444443	0.018104634152000382	1.53	1.48	0.59	0.044158804331639205	0.69	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	36.55555555555556	0.9501461875826164	37.5	35.0	21.0	0.0	21.0	21.0
1.5	0.58	29.0	28.5	37.5	21.0	1	1	0	0	0	1	0.8699999999999999	0.041428569455782396	0.38666640888906073	2.586202437582004	0.5	9.0	-8.5	1.0175438239458308	10.5	0.43499999999999994	2.586202437582004	0.38666640888906073	43.5	12.18	32.62499999999999	1.504	0.017126976771553528	1.53	1.48	0.589	0.04175324338699128	0.69	0.55	29.0	0.0	29.0	29.0	28.5	0.0	28.5	28.5	36.65	0.9442810316143543	37.5	35.0	21.0	0.0	21.0	21.0
